fincode,rv_sect_name,compname,classification
242153,Consumer Durables,Eureka Forbes Ltd.,S
242461,Financials,Aditya Birla Capital Ltd.,M
242477,Construction,Orient Cement Ltd.,S
244937,Automobile and Ancillaries,PTC Industries Ltd.,S
249927,Energy,Gujarat Gas Ltd.,M
251791,Financials,Aptus Value Housing Finance India Ltd.,S
252076,Infrastructure,Power Mech Projects Ltd.,S
252306,Retail and Other Services,Zomato Ltd.,L
254493,Financials,PB Fintech Ltd.,M
266384,Textile,PDS Ltd.,S
267389,Technology,Quess Corp Ltd.,S
267465,Metals,Shyam Metalics And Energy Ltd.,S
267615,Financials,Aavas Financiers Ltd.,S
268618,Technology,L&T Technology Services Ltd.,M
271581,Technology,Intellect Design Arena Ltd.,S
271867,Healthcare,Laurus Labs Ltd.,S
271875,Energy,Adani Energy Solutions Ltd.,L
272156,Construction,Greenlam Industries Ltd.,S
273033,Financials,Equitas Small Finance Bank Ltd.,S
273198,Technology,Route Mobile Ltd.,S
274045,Healthcare,Rainbow Children's Medicare Ltd.,S
275070,Financials,Infibeam Avenues Ltd.,S
277614,Healthcare,Jupiter Life Line Hospitals Ltd.,S
278701,Financials,Five-Star Business Finance Ltd.,S
279527,Financials,Bandhan Bank Ltd.,M
281585,Miscellaneous,BLS International Services Ltd.,S
282112,Capital Goods,Lloyds Engineering Works Ltd.,S
283206,Retail and Other Services,Aditya Vision Ltd.,S
284232,Technology,Happiest Minds Technologies Ltd.,S
284503,Automobile and Ancillaries,ASK Automotive Ltd.,S
284650,Automobile and Ancillaries,Pricol Ltd.,S
286335,Financials,AU Small Finance Bank Ltd.,M
287141,Financials,Share India Securities Ltd.,S
287199,Automobile and Ancillaries,Gandhar Oil Refinery (India) Ltd.,S
287237,Financials,Ujjivan Small Finance Bank Ltd.,S
289108,Logistics,Delhivery Ltd.,M
289554,Energy,Adani Green Energy Ltd.,L
289644,Miscellaneous,Rajnish Wellness Ltd.,S
290269,Retail and Other Services,Indiamart Intermesh Ltd.,S
